string_external_id,abundance
10090.ENSMUSP00000095656,611
10090.ENSMUSP00000118787,609
10090.ENSMUSP00000016771,609
10090.ENSMUSP00000022803,608
10090.ENSMUSP00000077262,608
10090.ENSMUSP00000094750,607
10090.ENSMUSP00000021062,604
10090.ENSMUSP00000035743,603
10090.ENSMUSP00000107448,603
10090.ENSMUSP00000016081,594
10090.ENSMUSP00000097294,592
10090.ENSMUSP00000100738,592
10090.ENSMUSP00000090245,592
10090.ENSMUSP00000128803,581
10090.ENSMUSP00000005923,581
10090.ENSMUSP00000120976,579
10090.ENSMUSP00000058919,576
10090.ENSMUSP00000075150,572
10090.ENSMUSP00000114144,571
10090.ENSMUSP00000117030,567
10090.ENSMUSP00000114839,566
10090.ENSMUSP00000036907,564
10090.ENSMUSP00000127034,563
10090.ENSMUSP00000099944,563
10090.ENSMUSP00000124523,559
10090.ENSMUSP00000132065,559
10090.ENSMUSP00000032078,556
10090.ENSMUSP00000018186,555
10090.ENSMUSP00000034264,554
10090.ENSMUSP00000119600,553
10090.ENSMUSP00000099565,553
10090.ENSMUSP00000105743,552
10090.ENSMUSP00000126192,550
10090.ENSMUSP00000031788,550
10090.ENSMUSP00000026560,549
10090.ENSMUSP00000093101,548
10090.ENSMUSP00000079163,547
10090.ENSMUSP00000113308,547
10090.ENSMUSP00000120528,546
10090.ENSMUSP00000026551,545
10090.ENSMUSP00000019514,543
10090.ENSMUSP00000048857,543
10090.ENSMUSP00000043765,541
10090.ENSMUSP00000104511,540
10090.ENSMUSP00000136858,539
10090.ENSMUSP00000013842,538
10090.ENSMUSP00000065113,536
10090.ENSMUSP00000026576,532
10090.ENSMUSP00000105094,531
10090.ENSMUSP00000126294,530
10090.ENSMUSP00000099930,530
10090.ENSMUSP00000034276,530
10090.ENSMUSP00000032824,529
10090.ENSMUSP00000109230,526
10090.ENSMUSP00000004072,525
10090.ENSMUSP00000111415,525
10090.ENSMUSP00000081142,525
10090.ENSMUSP00000020286,524
10090.ENSMUSP00000080854,523
10090.ENSMUSP00000018246,523
10090.ENSMUSP00000061247,523
10090.ENSMUSP00000077290,523
10090.ENSMUSP00000078239,523
10090.ENSMUSP00000106102,523
10090.ENSMUSP00000135427,523
10090.ENSMUSP00000088365,523
10090.ENSMUSP00000024897,522
10090.ENSMUSP00000068594,522
10090.ENSMUSP00000021090,522
10090.ENSMUSP00000089301,521
10090.ENSMUSP00000089350,521
10090.ENSMUSP00000106082,521
10090.ENSMUSP00000106085,521
10090.ENSMUSP00000021412,519
10090.ENSMUSP00000027863,516
10090.ENSMUSP00000113071,516
10090.ENSMUSP00000000109,515
10090.ENSMUSP00000100912,515
10090.ENSMUSP00000071214,513
10090.ENSMUSP00000033598,513
10090.ENSMUSP00000093965,513
10090.ENSMUSP00000025239,512
10090.ENSMUSP00000097919,512
10090.ENSMUSP00000005066,511
10090.ENSMUSP00000029374,511
10090.ENSMUSP00000138399,510
10090.ENSMUSP00000079180,509
10090.ENSMUSP00000103365,508
10090.ENSMUSP00000126202,507
10090.ENSMUSP00000043092,506
10090.ENSMUSP00000091840,504
10090.ENSMUSP00000027684,503
10090.ENSMUSP00000074293,501
10090.ENSMUSP00000006496,501
10090.ENSMUSP00000008036,500
10090.ENSMUSP00000028386,499
10090.ENSMUSP00000038931,498
10090.ENSMUSP00000137309,498
10090.ENSMUSP00000042232,497
10090.ENSMUSP00000050698,496
10090.ENSMUSP00000089343,492
10090.ENSMUSP00000106099,492
10090.ENSMUSP00000136792,492
10090.ENSMUSP00000009774,492
10090.ENSMUSP00000109399,491
10090.ENSMUSP00000052912,490
10090.ENSMUSP00000134735,488
10090.ENSMUSP00000133302,488
10090.ENSMUSP00000038135,487
10090.ENSMUSP00000053101,487
10090.ENSMUSP00000065983,486
10090.ENSMUSP00000109337,485
10090.ENSMUSP00000044417,485
10090.ENSMUSP00000093762,484
10090.ENSMUSP00000039110,484
10090.ENSMUSP00000140250,484
10090.ENSMUSP00000127842,483
10090.ENSMUSP00000063548,483
10090.ENSMUSP00000025486,483
10090.ENSMUSP00000076397,483
10090.ENSMUSP00000088287,483
10090.ENSMUSP00000082132,483
10090.ENSMUSP00000120595,480
10090.ENSMUSP00000029845,477
10090.ENSMUSP00000063825,476
10090.ENSMUSP00000074827,476
10090.ENSMUSP00000008826,475
10090.ENSMUSP00000056502,474
10090.ENSMUSP00000001242,474
10090.ENSMUSP00000097282,474
10090.ENSMUSP00000034756,474
10090.ENSMUSP00000031383,473
10090.ENSMUSP00000099487,473
10090.ENSMUSP00000026538,472
10090.ENSMUSP00000027777,472
10090.ENSMUSP00000037348,472
10090.ENSMUSP00000066839,469
10090.ENSMUSP00000006467,468
10090.ENSMUSP00000028607,468
10090.ENSMUSP00000031862,468
10090.ENSMUSP00000003038,467
10090.ENSMUSP00000029515,467
10090.ENSMUSP00000060346,464
10090.ENSMUSP00000031617,464
10090.ENSMUSP00000053943,463
10090.ENSMUSP00000130867,462
10090.ENSMUSP00000030637,462
10090.ENSMUSP00000032510,461
10090.ENSMUSP00000066860,461
10090.ENSMUSP00000028517,461
10090.ENSMUSP00000041299,461
10090.ENSMUSP00000028238,460
10090.ENSMUSP00000099757,460
10090.ENSMUSP00000054863,460
10090.ENSMUSP00000116492,459
10090.ENSMUSP00000076521,459
10090.ENSMUSP00000025918,458
10090.ENSMUSP00000107237,458
10090.ENSMUSP00000023851,456
10090.ENSMUSP00000125806,456
10090.ENSMUSP00000131489,455
10090.ENSMUSP00000130023,454
10090.ENSMUSP00000106861,453
10090.ENSMUSP00000005185,452
10090.ENSMUSP00000038964,449
10090.ENSMUSP00000039844,449
10090.ENSMUSP00000099461,449
10090.ENSMUSP00000110532,448
10090.ENSMUSP00000007959,447
10090.ENSMUSP00000006181,447
10090.ENSMUSP00000001452,446
10090.ENSMUSP00000101862,446
10090.ENSMUSP00000007216,444
10090.ENSMUSP00000043061,444
10090.ENSMUSP00000003461,444
10090.ENSMUSP00000005705,444
10090.ENSMUSP00000066621,443
10090.ENSMUSP00000100516,442
10090.ENSMUSP00000032477,442
10090.ENSMUSP00000024823,441
10090.ENSMUSP00000048833,439
10090.ENSMUSP00000080523,438
10090.ENSMUSP00000119603,438
10090.ENSMUSP00000001479,436
10090.ENSMUSP00000086852,434
10090.ENSMUSP00000120096,434
10090.ENSMUSP00000020315,434
10090.ENSMUSP00000103481,433
10090.ENSMUSP00000111363,433
10090.ENSMUSP00000038502,431
10090.ENSMUSP00000000756,431
10090.ENSMUSP00000006235,430
10090.ENSMUSP00000080994,428
10090.ENSMUSP00000083281,427
10090.ENSMUSP00000127330,426
10090.ENSMUSP00000077687,426
10090.ENSMUSP00000082130,425
10090.ENSMUSP00000044004,423
10090.ENSMUSP00000048469,423
10090.ENSMUSP00000004140,422
10090.ENSMUSP00000006900,419
10090.ENSMUSP00000034567,419
10090.ENSMUSP00000075987,418
10090.ENSMUSP00000089198,416
10090.ENSMUSP00000025955,416
10090.ENSMUSP00000029610,416
10090.ENSMUSP00000124480,415
10090.ENSMUSP00000025561,415
10090.ENSMUSP00000033770,415
10090.ENSMUSP00000001480,414
10090.ENSMUSP00000007257,414
10090.ENSMUSP00000045284,414
10090.ENSMUSP00000076294,413
10090.ENSMUSP00000091180,413
10090.ENSMUSP00000099909,413
10090.ENSMUSP00000041652,412
10090.ENSMUSP00000127851,411
10090.ENSMUSP00000137503,409
10090.ENSMUSP00000018430,406
10090.ENSMUSP00000104957,406
10090.ENSMUSP00000081544,405
10090.ENSMUSP00000102622,404
10090.ENSMUSP00000041503,403
10090.ENSMUSP00000014370,403
10090.ENSMUSP00000076538,403
10090.ENSMUSP00000027677,403
10090.ENSMUSP00000028239,402
10090.ENSMUSP00000050036,398
10090.ENSMUSP00000090059,398
10090.ENSMUSP00000042123,397
10090.ENSMUSP00000023608,396
10090.ENSMUSP00000133844,395
10090.ENSMUSP00000005509,395
10090.ENSMUSP00000103012,395
10090.ENSMUSP00000021559,394
10090.ENSMUSP00000083705,394
10090.ENSMUSP00000072732,394
10090.ENSMUSP00000065940,393
10090.ENSMUSP00000080531,392
10090.ENSMUSP00000097874,390
10090.ENSMUSP00000025804,389
10090.ENSMUSP00000105359,389
10090.ENSMUSP00000020717,387
10090.ENSMUSP00000037417,387
10090.ENSMUSP00000038961,387
10090.ENSMUSP00000079944,387
10090.ENSMUSP00000079022,386
10090.ENSMUSP00000051222,386
10090.ENSMUSP00000005493,386
10090.ENSMUSP00000006611,385
10090.ENSMUSP00000077477,385
10090.ENSMUSP00000080088,385
10090.ENSMUSP00000088281,385
10090.ENSMUSP00000088285,385
10090.ENSMUSP00000089335,385
10090.ENSMUSP00000089339,385
10090.ENSMUSP00000089345,385
10090.ENSMUSP00000100034,385
10090.ENSMUSP00000104445,385
10090.ENSMUSP00000004375,384
10090.ENSMUSP00000030842,383
10090.ENSMUSP00000030187,383
10090.ENSMUSP00000005647,382
10090.ENSMUSP00000113022,381
10090.ENSMUSP00000077909,380
10090.ENSMUSP00000034585,379
10090.ENSMUSP00000137297,378
10090.ENSMUSP00000065352,378
10090.ENSMUSP00000025204,377
10090.ENSMUSP00000047326,375
10090.ENSMUSP00000086716,375
10090.ENSMUSP00000023210,375
10090.ENSMUSP00000117045,374
10090.ENSMUSP00000137631,372
10090.ENSMUSP00000126702,372
10090.ENSMUSP00000003345,370
10090.ENSMUSP00000078132,369
10090.ENSMUSP00000046636,368
10090.ENSMUSP00000008893,368
10090.ENSMUSP00000082652,366
10090.ENSMUSP00000103007,366
10090.ENSMUSP00000099509,364
10090.ENSMUSP00000065770,364
10090.ENSMUSP00000064538,363
10090.ENSMUSP00000001809,362
10090.ENSMUSP00000020775,361
10090.ENSMUSP00000100795,361
10090.ENSMUSP00000014457,361
10090.ENSMUSP00000022429,360
10090.ENSMUSP00000008991,359
10090.ENSMUSP00000035829,358
10090.ENSMUSP00000108300,357
10090.ENSMUSP00000101453,355
10090.ENSMUSP00000026704,355
10090.ENSMUSP00000110731,355
10090.ENSMUSP00000035208,354
10090.ENSMUSP00000061012,354
10090.ENSMUSP00000005041,353
10090.ENSMUSP00000129565,352
10090.ENSMUSP00000121203,351
10090.ENSMUSP00000022573,351
10090.ENSMUSP00000033915,351
10090.ENSMUSP00000034848,350
10090.ENSMUSP00000007212,350
10090.ENSMUSP00000025476,349
10090.ENSMUSP00000130546,348
10090.ENSMUSP00000073695,348
10090.ENSMUSP00000099962,347
10090.ENSMUSP00000073061,347
10090.ENSMUSP00000025679,347
10090.ENSMUSP00000123765,347
10090.ENSMUSP00000020107,346
10090.ENSMUSP00000074783,345
10090.ENSMUSP00000106014,344
10090.ENSMUSP00000035366,343
10090.ENSMUSP00000037597,342
10090.ENSMUSP00000028938,341
10090.ENSMUSP00000031866,341
10090.ENSMUSP00000079100,341
10090.ENSMUSP00000047968,341
10090.ENSMUSP00000004134,340
10090.ENSMUSP00000021750,340
10090.ENSMUSP00000047564,340
10090.ENSMUSP00000020420,339
10090.ENSMUSP00000079228,339
10090.ENSMUSP00000005017,338
10090.ENSMUSP00000114304,337
10090.ENSMUSP00000001042,336
10090.ENSMUSP00000016033,336
10090.ENSMUSP00000092148,335
10090.ENSMUSP00000009157,335
10090.ENSMUSP00000110434,335
10090.ENSMUSP00000030583,334
10090.ENSMUSP00000009234,333
10090.ENSMUSP00000001460,332
10090.ENSMUSP00000045841,331
10090.ENSMUSP00000032949,328
10090.ENSMUSP00000096152,328
10090.ENSMUSP00000022904,327
10090.ENSMUSP00000022341,327
10090.ENSMUSP00000002289,327
10090.ENSMUSP00000021536,326
10090.ENSMUSP00000068896,325
10090.ENSMUSP00000064282,325
10090.ENSMUSP00000030651,325
10090.ENSMUSP00000070983,324
10090.ENSMUSP00000120106,323
10090.ENSMUSP00000004554,321
10090.ENSMUSP00000022163,320
10090.ENSMUSP00000105719,320
10090.ENSMUSP00000116108,320
10090.ENSMUSP00000072509,320
10090.ENSMUSP00000064204,320
10090.ENSMUSP00000035158,318
10090.ENSMUSP00000068890,318
10090.ENSMUSP00000000137,318
10090.ENSMUSP00000079722,318
10090.ENSMUSP00000122103,317
10090.ENSMUSP00000008594,317
10090.ENSMUSP00000032597,316
10090.ENSMUSP00000079380,316
10090.ENSMUSP00000075772,316
10090.ENSMUSP00000099881,315
10090.ENSMUSP00000044188,313
10090.ENSMUSP00000102559,313
10090.ENSMUSP00000093978,312
10090.ENSMUSP00000071054,312
10090.ENSMUSP00000026289,311
10090.ENSMUSP00000005711,311
10090.ENSMUSP00000058432,311
10090.ENSMUSP00000130194,311
10090.ENSMUSP00000078198,310
10090.ENSMUSP00000090854,310
10090.ENSMUSP00000124223,310
10090.ENSMUSP00000101105,310
10090.ENSMUSP00000021239,308
10090.ENSMUSP00000034400,307
10090.ENSMUSP00000077744,306
10090.ENSMUSP00000065285,306
10090.ENSMUSP00000118179,305
10090.ENSMUSP00000096932,305
10090.ENSMUSP00000028553,304
10090.ENSMUSP00000136957,304
10090.ENSMUSP00000133523,304
10090.ENSMUSP00000049394,303
10090.ENSMUSP00000133117,301
10090.ENSMUSP00000115044,299
10090.ENSMUSP00000095433,299
10090.ENSMUSP00000017629,298
10090.ENSMUSP00000099482,298
10090.ENSMUSP00000034903,297
10090.ENSMUSP00000034131,296
10090.ENSMUSP00000029405,295
10090.ENSMUSP00000074392,294
10090.ENSMUSP00000077594,294
10090.ENSMUSP00000005583,294
10090.ENSMUSP00000130678,294
10090.ENSMUSP00000042134,294
10090.ENSMUSP00000121005,293
10090.ENSMUSP00000124562,292
10090.ENSMUSP00000091475,292
10090.ENSMUSP00000025542,291
10090.ENSMUSP00000020522,291
10090.ENSMUSP00000030455,291
10090.ENSMUSP00000064691,290
10090.ENSMUSP00000061493,290
10090.ENSMUSP00000005431,290
10090.ENSMUSP00000133564,289
10090.ENSMUSP00000084807,289
10090.ENSMUSP00000099803,289
10090.ENSMUSP00000074142,289
10090.ENSMUSP00000072989,289
10090.ENSMUSP00000074310,289
10090.ENSMUSP00000089336,289
10090.ENSMUSP00000127684,289
10090.ENSMUSP00000051487,289
10090.ENSMUSP00000020203,288
10090.ENSMUSP00000043768,287
10090.ENSMUSP00000022793,287
10090.ENSMUSP00000029002,285
10090.ENSMUSP00000066068,285
10090.ENSMUSP00000085244,285
10090.ENSMUSP00000111510,285
10090.ENSMUSP00000041453,285
10090.ENSMUSP00000027127,284
10090.ENSMUSP00000125548,283
10090.ENSMUSP00000006254,283
10090.ENSMUSP00000027111,283
10090.ENSMUSP00000126850,282
10090.ENSMUSP00000028083,281
10090.ENSMUSP00000110013,281
10090.ENSMUSP00000049000,280
10090.ENSMUSP00000136791,279
10090.ENSMUSP00000005651,278
10090.ENSMUSP00000113068,278
10090.ENSMUSP00000120014,277
10090.ENSMUSP00000032216,275
10090.ENSMUSP00000072775,275
10090.ENSMUSP00000047218,274
10090.ENSMUSP00000069482,274
10090.ENSMUSP00000015950,274
10090.ENSMUSP00000002198,274
10090.ENSMUSP00000037018,274
